Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status,Status_encoded,SuccessRate_semester1,SuccessRate_semester2,Grade_improvement,Total_credit_enrolled,Total_credit_approval,is_financially_secure,economic_stress
1,1,9500,1,133.0,38,38,5,5,123.2,0,0,1,0,0,18,7,7,7,13.285714285714286,8,9,8,13.333333333333334,16.2,0.3,-0.92,Graduate,1,1.0,1.0,0.04761904761904745,15,15,0,-0.276
17,2,9853,1,126.0,1,19,2,10,126.0,1,0,1,0,0,19,6,9,5,13.0,6,8,5,10.4,7.6,2.6,0.32,Enrolled,1,0.8333333333333334,0.8333333333333334,-2.5999999999999996,12,10,0,0.8320000000000001
39,1,9500,1,133.1,1,38,3,7,121.7,0,0,1,0,1,27,7,8,6,12.6,7,9,6,11.685714285714283,12.4,0.5,1.79,Enrolled,1,0.8571428571428571,0.8571428571428571,-0.9142857142857164,14,12,0,0.895
17,1,9147,1,147.0,37,37,9,6,142.8,1,1,0,0,1,19,5,5,5,12.8,5,5,4,12.0,11.1,0.6,2.02,Enrolled,1,1.0,0.8,-0.8000000000000007,10,9,1,1.212
43,1,9130,1,120.0,1,19,9,9,120.0,1,0,1,0,0,21,6,14,5,11.5,6,13,5,11.0,15.5,2.8,-4.06,Dropout,0,0.8333333333333334,0.8333333333333334,-0.5,12,10,0,-11.367999999999999
18,1,9500,1,130.0,37,38,7,8,119.3,1,0,1,0,1,19,8,8,7,11.4,8,8,7,11.4,10.8,1.4,1.74,Graduate,1,0.875,0.875,0.0,16,14,0,2.436
44,1,9238,1,120.0,37,37,6,9,121.0,0,0,1,0,1,21,6,6,6,12.333333333333334,6,8,6,11.333333333333334,13.9,-0.3,0.79,Graduate,1,1.0,1.0,-1.0,12,12,0,-0.237
1,5,9773,1,138.0,19,19,9,9,139.4,1,0,1,0,0,18,6,7,5,12.8,6,10,4,12.2,10.8,1.4,1.74,Graduate,1,0.8333333333333334,0.6666666666666666,-0.6000000000000014,12,9,0,2.436
17,1,9085,1,124.0,19,38,7,7,113.9,1,0,1,0,1,20,5,8,5,12.0,5,8,4,15.0,12.7,3.7,-1.7,Graduate,1,1.0,0.8,3.0,10,9,0,-6.29
1,1,9853,1,133.0,37,37,9,7,124.6,1,0,1,0,1,18,6,8,5,13.0,6,9,5,13.5,9.4,-0.8,-3.12,Graduate,1,0.8333333333333334,0.8333333333333334,0.5,12,10,0,2.4960000000000004
17,1,9070,1,122.0,1,1,4,8,123.8,1,1,0,0,1,18,6,6,6,11.833333333333334,6,8,6,11.0,12.7,3.7,-1.7,Dropout,0,1.0,1.0,-0.8333333333333339,12,12,1,-6.29
1,3,9085,1,138.0,1,3,4,4,126.3,1,0,1,0,0,18,6,8,6,14.0,6,9,6,13.333333333333334,8.9,1.4,3.51,Graduate,1,1.0,1.0,-0.6666666666666661,12,12,0,4.914
17,4,9773,1,134.0,1,1,3,3,120.4,1,0,1,0,1,18,6,6,6,12.333333333333334,6,6,6,13.5,16.2,0.3,-0.92,Graduate,1,1.0,1.0,1.166666666666666,12,12,0,-0.276
1,3,9500,1,128.0,1,1,7,7,120.5,1,0,1,0,1,19,7,10,5,13.04,7,7,7,12.5,12.4,0.5,1.79,Enrolled,1,0.7142857142857143,1.0,-0.5399999999999991,14,12,0,0.895
53,1,9085,1,140.0,19,38,8,9,144.9,1,1,0,0,0,23,11,18,11,13.166666666666666,9,15,8,13.333333333333334,8.9,1.4,3.51,Enrolled,1,1.0,0.8888888888888888,0.16666666666666785,20,19,0,4.914
39,1,9085,1,133.1,19,19,4,9,139.9,1,0,1,0,1,24,6,7,6,12.5,6,11,6,12.833333333333334,8.9,1.4,3.51,Graduate,1,1.0,1.0,0.3333333333333339,12,12,0,4.914
1,3,9500,1,141.0,19,19,9,9,126.0,1,0,1,0,0,18,8,8,7,15.657142857142857,8,8,7,15.657142857142857,12.7,3.7,-1.7,Graduate,1,0.875,0.875,0.0,16,14,0,-6.29
1,2,9070,1,145.0,1,19,4,3,133.5,0,0,1,0,0,19,6,6,6,12.166666666666666,6,6,6,11.333333333333334,12.7,3.7,-1.7,Graduate,1,1.0,1.0,-0.8333333333333321,12,12,0,-6.29
17,2,9853,1,145.0,38,19,4,9,127.9,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,10.8,1.4,1.74,Dropout,0,0.0,0.0,0.0,12,0,0,2.436
1,1,9238,1,108.0,1,38,5,8,105.9,0,0,1,0,1,20,6,11,5,10.6,6,9,5,11.166666666666666,11.1,0.6,2.02,Enrolled,1,0.8333333333333334,0.8333333333333334,0.5666666666666664,12,10,0,1.212
1,1,9085,1,132.0,1,12,4,5,124.3,0,0,1,0,0,20,6,10,6,13.428571428571429,6,11,5,12.666666666666666,13.9,-0.3,0.79,Enrolled,1,1.0,0.8333333333333334,-0.7619047619047628,12,11,0,-0.237
39,1,9773,1,140.0,34,37,0,0,102.5,0,0,1,0,0,26,6,8,4,11.75,6,12,0,0.0,7.6,2.6,0.32,Dropout,0,0.6666666666666666,0.0,-11.75,12,4,0,0.8320000000000001
39,1,9254,1,133.1,19,1,9,5,97.0,0,1,0,1,0,36,5,10,0,0.0,5,5,0,0.0,15.5,2.8,-4.06,Dropout,0,0.0,0.0,0.0,10,0,0,-11.367999999999999
42,1,9119,1,120.0,19,37,9,9,113.8,0,0,0,1,0,27,5,0,0,0.0,5,0,0,0.0,15.5,2.8,-4.06,Dropout,0,0.0,0.0,0.0,10,0,0,-11.367999999999999
1,4,9119,1,120.0,3,1,123,152,116.9,0,0,1,1,0,18,5,9,1,13.0,5,5,0,0.0,8.9,1.4,3.51,Dropout,0,0.2,0.0,-13.0,10,1,0,4.914
1,4,9500,1,139.0,37,38,9,9,124.0,1,0,1,1,1,18,8,8,7,13.331428571428573,8,8,7,13.331428571428573,10.8,1.4,1.74,Graduate,1,0.875,0.875,0.0,16,14,0,2.436
39,1,9070,1,139.3,38,38,5,5,117.5,0,0,1,1,0,28,6,0,0,0.0,6,0,0,0.0,12.4,0.5,1.79,Dropout,0,0.0,0.0,0.0,12,0,0,0.895
1,1,9500,1,138.0,19,37,4,9,141.0,0,0,1,1,0,19,7,7,6,13.7,7,7,6,13.7,7.6,2.6,0.32,Graduate,1,0.8571428571428571,0.8571428571428571,0.0,14,12,0,0.8320000000000001
39,1,9670,1,133.1,6,22,3,3,120.0,0,1,0,1,0,26,5,5,0,0.0,5,5,0,0.0,9.4,-0.8,-3.12,Dropout,0,0.0,0.0,0.0,10,0,0,2.4960000000000004
51,1,9119,1,136.0,1,19,3,5,133.6,1,0,1,1,0,20,9,12,9,13.454545454545457,7,9,6,13.875,11.1,0.6,2.02,Dropout,0,1.0,0.8571428571428571,0.4204545454545432,16,15,0,1.212
1,6,9500,1,134.0,38,38,9,9,122.0,1,0,1,1,0,19,8,8,7,12.2,8,8,7,12.2,12.7,3.7,-1.7,Graduate,1,0.875,0.875,0.0,16,14,0,-6.29
1,1,9147,1,140.0,19,19,7,3,120.0,1,0,1,1,0,21,5,8,3,10.0,5,10,4,11.0,12.7,3.7,-1.7,Dropout,0,0.6,0.8,1.0,10,7,0,-6.29
53,1,9670,1,110.0,1,19,9,9,114.2,0,0,1,1,1,23,6,7,5,13.0,6,7,6,12.857142857142858,8.9,1.4,3.51,Graduate,1,0.8333333333333334,1.0,-0.14285714285714235,12,11,0,4.914
39,1,8014,0,133.1,38,37,4,8,95.5,0,0,1,1,0,29,6,11,6,12.0,6,6,6,14.0,11.1,0.6,2.02,Graduate,1,1.0,1.0,2.0,12,12,0,1.212
1,1,9500,1,129.0,1,1,9,9,120.0,0,0,1,1,0,20,8,8,7,15.028571428571428,8,8,7,15.028571428571428,12.7,3.7,-1.7,Graduate,1,0.875,0.875,0.0,16,14,0,-6.29
1,1,9238,1,116.0,1,19,5,9,111.1,0,0,1,1,0,18,6,8,6,12.0,6,7,6,11.714285714285714,15.5,2.8,-4.06,Graduate,1,1.0,1.0,-0.2857142857142865,12,12,0,-11.367999999999999
1,1,9773,1,130.0,1,38,3,5,128.6,1,0,1,1,0,19,6,8,5,12.0,6,8,5,12.4,9.4,-0.8,-3.12,Graduate,1,0.8333333333333334,0.8333333333333334,0.40000000000000036,12,10,0,2.4960000000000004
7,1,9556,1,130.0,1,37,4,8,130.0,0,0,0,1,0,23,7,7,3,13.666666666666666,8,8,3,11.333333333333334,10.8,1.4,1.74,Dropout,0,0.42857142857142855,0.375,-2.333333333333332,15,6,0,2.436
17,1,9147,1,136.0,1,1,9,3,122.7,1,0,1,1,0,18,5,6,5,12.0,5,7,4,12.5,15.5,2.8,-4.06,Enrolled,1,1.0,0.8,0.5,10,9,0,-11.367999999999999
1,5,9070,1,117.0,19,37,5,5,131.0,1,1,0,1,0,21,6,6,1,14.0,6,7,0,0.0,9.4,-0.8,-3.12,Dropout,0,0.16666666666666666,0.0,-14.0,12,1,0,2.4960000000000004
51,1,9238,1,141.0,1,1,5,9,125.0,0,0,1,1,0,22,6,6,0,0.0,6,7,0,0.0,11.1,0.6,2.02,Dropout,0,0.0,0.0,0.0,12,0,0,1.212
18,1,9556,1,133.1,3,19,2,8,106.0,1,0,1,1,0,21,7,8,7,12.375,7,11,5,12.583333333333334,8.9,1.4,3.51,Graduate,1,1.0,0.7142857142857143,0.20833333333333393,14,12,0,4.914
39,1,9500,1,133.1,38,19,9,9,128.0,1,0,0,1,0,32,7,0,0,0.0,8,0,0,0.0,16.2,0.3,-0.92,Dropout,0,0.0,0.0,0.0,15,0,0,-0.276
7,1,9003,1,120.0,1,19,4,1,120.0,1,0,1,1,0,27,18,21,18,11.421052631578949,13,16,13,11.076923076923077,15.5,2.8,-4.06,Graduate,1,1.0,1.0,-0.344129554655872,31,31,0,-11.367999999999999
1,1,9500,1,148.0,19,38,9,8,134.8,1,0,1,1,0,18,7,7,6,13.35,7,7,6,13.35,7.6,2.6,0.32,Graduate,1,0.8571428571428571,0.8571428571428571,0.0,14,12,0,0.8320000000000001
39,1,9070,1,130.0,1,1,5,3,112.0,1,0,1,1,1,24,6,6,6,15.0,6,6,2,16.0,15.5,2.8,-4.06,Graduate,1,1.0,0.3333333333333333,1.0,12,8,0,-11.367999999999999
1,1,9130,1,120.0,19,37,1,9,116.1,1,0,1,1,0,22,5,9,2,10.5,5,5,0,0.0,12.7,3.7,-1.7,Dropout,0,0.4,0.0,-10.5,10,2,0,-6.29
43,1,9130,1,120.0,2,3,3,2,120.0,1,0,0,1,0,22,6,0,0,0.0,4,6,0,0.0,10.8,1.4,1.74,Dropout,0,0.0,0.0,0.0,10,0,0,2.436
1,3,9147,1,133.0,37,37,9,5,119.7,1,0,1,1,0,19,5,8,5,13.25,5,6,5,11.833333333333334,13.9,-0.3,0.79,Graduate,1,1.0,1.0,-1.416666666666666,10,10,0,-0.237
17,6,9119,1,129.0,37,13,4,90,117.1,1,0,1,1,0,19,5,10,0,0.0,5,5,0,0.0,7.6,2.6,0.32,Dropout,0,0.0,0.0,0.0,10,0,0,0.8320000000000001
1,2,9085,1,118.0,1,19,3,3,112.4,1,0,1,1,0,21,5,7,4,11.5,5,15,3,10.6,10.8,1.4,1.74,Enrolled,1,0.8,0.6,-0.9000000000000004,10,7,0,2.436
1,2,9500,1,140.0,1,1,2,7,131.0,1,0,1,0,1,18,8,8,8,13.88125,8,8,8,13.88125,9.4,-0.8,-3.12,Graduate,1,1.0,1.0,0.0,16,16,0,2.4960000000000004
1,2,9254,1,127.0,3,19,3,10,130.9,1,0,1,0,0,18,6,8,6,11.333333333333334,6,8,5,12.6,9.4,-0.8,-3.12,Graduate,1,1.0,0.8333333333333334,1.2666666666666657,12,11,0,2.4960000000000004
17,1,9238,1,132.0,1,19,4,9,127.1,1,0,1,0,0,19,6,7,6,12.857142857142858,6,7,6,13.666666666666666,13.9,-0.3,0.79,Graduate,1,1.0,1.0,0.8095238095238084,12,12,0,-0.237
17,5,9773,1,113.0,38,38,191,175,110.2,1,1,1,0,0,19,6,6,5,11.6,6,6,6,12.5,8.9,1.4,3.51,Graduate,1,0.8333333333333334,1.0,0.9000000000000004,12,11,0,4.914
17,1,9254,1,115.0,12,1,9,3,108.7,1,0,1,0,1,18,6,9,5,11.4,6,6,6,11.333333333333334,12.4,0.5,1.79,Graduate,1,0.8333333333333334,1.0,-0.06666666666666643,12,11,0,0.895
1,1,9130,1,133.1,1,1,3,9,138.0,1,0,1,0,0,20,6,11,6,13.333333333333334,6,10,6,13.0,16.2,0.3,-0.92,Enrolled,1,1.0,1.0,-0.3333333333333339,12,12,0,-0.276
44,1,9070,1,150.0,12,37,3,9,147.7,0,1,1,0,1,22,7,7,7,13.571428571428571,9,9,9,13.77777777777778,12.4,0.5,1.79,Graduate,1,1.0,1.0,0.20634920634920917,16,16,0,0.895
39,1,9556,1,133.1,37,38,9,9,123.0,0,0,1,0,0,31,7,13,6,11.833333333333334,7,8,7,12.228571428571428,12.4,0.5,1.79,Graduate,1,0.8571428571428571,1.0,0.39523809523809383,14,13,0,0.895
17,1,9853,1,141.0,19,19,9,8,142.8,0,0,1,0,1,19,7,7,7,14.428571428571429,7,7,7,14.142857142857142,16.2,0.3,-0.92,Graduate,1,1.0,1.0,-0.2857142857142865,14,14,0,-0.276
1,2,9254,1,136.0,38,38,9,7,125.2,1,0,1,0,1,18,6,8,6,12.285714285714286,6,9,5,12.4,8.9,1.4,3.51,Graduate,1,1.0,0.8333333333333334,0.11428571428571388,12,11,0,4.914
1,1,9085,1,140.0,12,1,1,90,141.8,0,0,1,0,0,21,5,7,5,14.4,5,5,5,13.8,7.6,2.6,0.32,Graduate,1,1.0,1.0,-0.5999999999999996,10,10,0,0.8320000000000001
17,5,9500,1,143.0,38,1,9,7,130.6,1,0,1,0,1,18,7,8,7,13.15,8,9,8,15.06875,13.9,-0.3,0.79,Graduate,1,1.0,1.0,1.9187499999999993,15,15,0,-0.237
44,1,9147,1,130.0,2,37,2,8,130.0,0,1,0,1,0,25,5,6,0,0.0,5,5,0,0.0,15.5,2.8,-4.06,Dropout,0,0.0,0.0,0.0,10,0,0,-11.367999999999999
15,1,9119,1,133.1,1,3,5,8,100.0,0,1,1,1,0,21,5,5,0,0.0,6,8,0,0.0,11.1,0.6,2.02,Dropout,0,0.0,0.0,0.0,11,0,0,1.212
18,2,9500,1,129.0,38,37,5,5,119.0,1,0,1,0,1,19,8,8,7,12.342857142857143,8,8,7,12.342857142857143,10.8,1.4,1.74,Graduate,1,0.875,0.875,0.0,16,14,0,2.436
1,2,9773,1,132.0,38,1,9,9,124.3,1,0,1,0,0,19,6,6,5,12.2,6,7,5,10.8,10.8,1.4,1.74,Enrolled,1,0.8333333333333334,0.8333333333333334,-1.3999999999999986,12,10,0,2.436
17,1,9254,1,118.0,11,34,5,0,122.2,1,0,1,0,0,22,6,10,4,10.5,6,14,1,11.0,7.6,2.6,0.32,Dropout,0,0.6666666666666666,0.16666666666666666,0.5,12,5,0,0.8320000000000001
15,1,9147,1,150.0,38,1,9,1,150.0,0,0,1,1,0,19,5,5,5,10.6,5,8,5,11.6,12.4,0.5,1.79,Graduate,1,1.0,1.0,1.0,10,10,0,0.895
39,1,8014,0,133.1,37,37,9,5,135.5,0,0,1,0,0,58,6,6,0,0.0,6,6,0,0.0,11.1,0.6,2.02,Dropout,0,0.0,0.0,0.0,12,0,0,1.212
16,2,9238,1,122.0,19,37,9,7,127.3,1,0,1,0,1,19,6,8,4,11.25,6,6,6,12.0,10.8,1.4,1.74,Graduate,1,0.6666666666666666,1.0,0.75,12,10,0,2.436
43,1,9670,1,127.0,37,37,9,9,127.0,1,0,1,1,0,23,9,11,6,10.5,10,10,10,11.7,9.4,-0.8,-3.12,Graduate,1,0.6666666666666666,1.0,1.1999999999999993,19,16,0,2.4960000000000004
1,2,9773,1,122.0,37,37,9,9,126.9,1,0,1,0,1,19,6,11,4,11.0,6,11,3,11.666666666666666,9.4,-0.8,-3.12,Enrolled,1,0.6666666666666666,0.5,0.6666666666666661,12,7,0,2.4960000000000004
18,3,9500,1,131.0,19,1,4,7,127.5,1,0,1,0,0,18,7,7,7,13.457142857142856,8,8,8,14.5125,13.9,-0.3,0.79,Graduate,1,1.0,1.0,1.0553571428571438,15,15,0,-0.237
1,2,9085,1,130.0,19,19,90,90,122.0,0,0,1,0,0,20,5,6,5,12.6,5,8,4,12.333333333333334,7.6,2.6,0.32,Graduate,1,1.0,0.8,-0.2666666666666657,10,9,0,0.8320000000000001
17,5,9085,1,130.0,19,19,90,7,115.8,0,0,0,0,0,18,6,0,0,0.0,6,0,0,0.0,12.7,3.7,-1.7,Dropout,0,0.0,0.0,0.0,12,0,0,-6.29
17,1,9670,1,130.0,3,19,5,5,121.6,0,0,1,0,0,18,6,6,6,13.666666666666666,6,8,5,13.6,8.9,1.4,3.51,Graduate,1,1.0,0.8333333333333334,-0.06666666666666643,12,11,0,4.914
17,4,9147,1,122.0,19,19,5,7,116.4,1,1,1,0,1,18,5,5,5,11.6,5,5,5,11.8,11.1,0.6,2.02,Graduate,1,1.0,1.0,0.20000000000000107,10,10,0,1.212
39,1,9130,1,114.0,38,38,9,10,120.0,0,0,1,0,0,24,6,9,6,12.571428571428571,6,10,5,12.833333333333334,11.1,0.6,2.02,Dropout,0,1.0,0.8333333333333334,0.26190476190476275,12,11,0,1.212
17,4,9853,1,143.0,37,37,9,5,127.3,1,0,1,0,0,18,6,7,5,11.8,6,7,5,11.4,10.8,1.4,1.74,Dropout,0,0.8333333333333334,0.8333333333333334,-0.40000000000000036,12,10,0,2.436
1,3,9147,1,127.0,1,38,5,7,123.5,1,0,1,0,1,19,5,5,5,11.6,5,11,3,12.666666666666666,9.4,-0.8,-3.12,Enrolled,1,1.0,0.6,1.0666666666666664,10,8,0,2.4960000000000004
17,3,9238,1,141.0,19,38,9,7,125.6,1,0,1,0,1,19,6,8,6,11.333333333333334,6,6,6,11.833333333333334,8.9,1.4,3.51,Graduate,1,1.0,1.0,0.5,12,12,0,4.914
1,1,9254,1,129.0,38,38,6,6,118.5,1,0,1,0,0,18,6,6,6,10.666666666666666,6,6,6,11.5,7.6,2.6,0.32,Graduate,1,1.0,1.0,0.8333333333333339,12,12,0,0.8320000000000001
1,2,9130,1,140.0,19,37,9,9,129.5,1,0,1,0,0,18,5,10,4,13.5,5,5,5,13.4,12.7,3.7,-1.7,Enrolled,1,0.8,1.0,-0.09999999999999964,10,9,0,-6.29
44,1,9085,1,140.0,4,4,2,6,140.0,0,0,1,0,0,22,6,9,6,13.333333333333334,6,9,4,11.5,13.9,-0.3,0.79,Graduate,1,1.0,0.6666666666666666,-1.833333333333334,12,10,0,-0.237
1,1,9254,1,143.0,2,37,1,1,133.2,1,0,1,0,0,19,6,9,5,13.4,6,16,2,13.5,10.8,1.4,1.74,Enrolled,1,0.8333333333333334,0.3333333333333333,0.09999999999999964,12,7,0,2.436
17,1,9238,1,138.0,37,37,9,9,133.5,1,0,1,0,1,21,6,8,3,10.2,6,13,4,12.25,12.7,3.7,-1.7,Enrolled,1,0.5,0.6666666666666666,2.0500000000000007,12,7,0,-6.29
17,1,9773,1,120.0,19,38,9,7,117.9,1,0,1,0,1,21,6,6,5,13.0,6,7,6,12.833333333333334,8.9,1.4,3.51,Graduate,1,0.8333333333333334,1.0,-0.16666666666666607,12,11,0,4.914
1,3,9500,1,144.0,38,38,5,7,128.0,1,0,1,0,1,18,8,11,7,12.90857142857143,8,11,7,12.90857142857143,10.8,1.4,1.74,Graduate,1,0.875,0.875,0.0,16,14,0,2.436
1,5,9853,1,123.0,1,12,4,9,113.2,1,0,1,0,0,20,6,12,4,12.0,6,11,1,10.0,10.8,1.4,1.74,Dropout,0,0.6666666666666666,0.16666666666666666,-2.0,12,5,0,2.436
1,3,9254,1,129.0,37,38,7,7,122.0,1,0,1,0,1,18,6,9,6,10.833333333333334,6,8,5,11.0,7.6,2.6,0.32,Enrolled,1,1.0,0.8333333333333334,0.16666666666666607,12,11,0,0.8320000000000001
16,3,9070,1,152.0,1,38,4,8,156.9,1,0,1,0,0,19,6,6,6,15.333333333333334,6,9,6,15.833333333333334,12.7,3.7,-1.7,Graduate,1,1.0,1.0,0.5,12,12,0,-6.29
1,2,9500,1,130.0,1,38,9,9,125.1,1,0,1,0,1,18,7,9,6,12.816666666666668,8,11,6,12.875,11.1,0.6,2.02,Enrolled,1,0.8571428571428571,0.75,0.058333333333331794,15,12,0,1.212
15,1,9147,1,133.1,41,1,3,4,100.0,0,1,0,1,0,26,7,7,6,13.0,6,6,2,14.0,11.1,0.6,2.02,Dropout,0,0.8571428571428571,0.3333333333333333,1.0,13,8,0,1.212
15,1,9119,1,160.0,1,3,143,152,160.0,0,1,1,0,0,19,6,11,2,13.5,5,11,2,11.0,8.9,1.4,3.51,Enrolled,1,0.3333333333333333,0.4,-2.5,11,4,0,4.914
39,1,8014,0,140.0,37,37,9,9,101.0,0,0,1,0,0,35,6,7,6,12.5,6,6,6,12.166666666666666,15.5,2.8,-4.06,Graduate,1,1.0,1.0,-0.3333333333333339,12,12,0,-11.367999999999999
18,1,9670,1,133.0,1,1,9,9,121.5,1,0,1,0,1,19,6,7,6,13.0,6,6,6,14.333333333333334,12.4,0.5,1.79,Graduate,1,1.0,1.0,1.333333333333334,12,12,0,0.895
1,1,9085,1,138.0,38,37,9,6,126.8,1,0,1,1,0,18,5,6,4,11.75,5,10,5,12.571428571428571,10.8,1.4,1.74,Graduate,1,0.8,1.0,0.8214285714285712,10,9,0,2.436
1,5,9670,1,142.0,19,19,7,3,132.9,0,0,1,1,0,19,5,5,4,12.5,5,5,4,14.25,7.6,2.6,0.32,Graduate,1,0.8,0.8,1.75,10,8,0,0.8320000000000001
1,1,171,1,115.0,1,1,9,9,134.3,1,0,1,1,0,25,17,19,17,11.61111111111111,17,22,17,12.055555555555555,12.4,0.5,1.79,Graduate,1,1.0,1.0,0.44444444444444464,34,34,0,0.895
17,6,9254,1,125.0,1,1,4,3,120.5,1,0,1,1,0,18,6,6,6,14.0,6,6,6,14.666666666666666,11.1,0.6,2.02,Graduate,1,1.0,1.0,0.6666666666666661,12,12,0,1.212
17,1,9003,1,170.0,1,4,9,5,144.1,1,1,0,1,0,26,6,8,0,0.0,6,10,0,0.0,16.2,0.3,-0.92,Dropout,0,0.0,0.0,0.0,12,0,0,-0.276
43,1,9991,0,140.0,1,1,6,6,100.0,0,0,1,1,0,34,5,5,5,13.8,5,6,5,13.833333333333334,9.4,-0.8,-3.12,Graduate,1,1.0,1.0,0.033333333333333215,10,10,0,2.4960000000000004
1,2,9254,1,110.0,4,19,4,3,114.8,1,0,0,1,0,18,5,6,0,0.0,5,5,0,0.0,12.7,3.7,-1.7,Dropout,0,0.0,0.0,0.0,10,0,0,-6.29
17,3,9119,1,138.0,1,19,4,3,125.4,1,0,1,1,1,18,5,9,4,12.25,5,9,3,12.333333333333334,8.9,1.4,3.51,Dropout,0,0.8,0.6,0.08333333333333393,10,7,0,4.914
44,1,9003,1,140.0,37,37,9,4,140.0,0,0,1,1,0,20,6,12,3,11.5,6,12,3,13.666666666666666,12.4,0.5,1.79,Dropout,0,0.5,0.5,2.166666666666666,12,6,0,0.895
44,1,9070,1,140.0,1,19,4,4,140.0,0,0,1,1,0,25,7,9,6,12.571428571428571,9,9,9,12.555555555555555,16.2,0.3,-0.92,Graduate,1,0.8571428571428571,1.0,-0.015873015873015817,16,15,0,-0.276
17,1,9130,1,132.0,2,1,4,1,127.8,0,0,1,1,0,18,6,9,6,12.0,6,10,5,12.166666666666666,11.1,0.6,2.02,Dropout,0,1.0,0.8333333333333334,0.16666666666666607,12,11,0,1.212
1,1,9003,1,148.0,19,37,9,9,131.6,1,0,1,1,0,19,12,17,11,12.0,12,21,12,12.307692307692308,15.5,2.8,-4.06,Graduate,1,0.9166666666666666,1.0,0.3076923076923084,24,23,0,-11.367999999999999
18,2,9238,1,126.0,19,37,5,7,129.9,1,0,1,1,1,20,7,9,6,12.0,6,6,6,11.166666666666666,10.8,1.4,1.74,Graduate,1,0.8571428571428571,1.0,-0.8333333333333339,13,12,0,2.436
1,1,9119,1,121.0,3,1,2,3,114.0,0,0,1,1,0,20,5,9,4,11.6,5,7,4,12.25,7.6,2.6,0.32,Enrolled,1,0.8,0.8,0.6500000000000004,10,8,0,0.8320000000000001
1,2,9147,1,120.0,1,37,4,9,113.4,1,0,1,1,1,19,5,5,0,0.0,5,5,0,0.0,11.1,0.6,2.02,Dropout,0,0.0,0.0,0.0,10,0,0,1.212
1,1,9147,1,123.0,1,19,4,5,117.8,0,0,1,1,0,20,5,9,5,12.0,5,9,4,13.0,8.9,1.4,3.51,Enrolled,1,1.0,0.8,1.0,10,9,0,4.914
1,6,9500,1,122.0,1,1,3,7,114.3,1,0,1,1,0,18,7,8,6,13.976666666666668,8,12,6,12.041666666666666,11.1,0.6,2.02,Enrolled,1,0.8571428571428571,0.75,-1.9350000000000023,15,12,0,1.212
1,1,9670,1,136.0,2,38,143,163,129.7,1,0,1,1,0,19,6,10,4,12.5,6,12,1,10.0,16.2,0.3,-0.92,Enrolled,1,0.6666666666666666,0.16666666666666666,-2.5,12,5,0,-0.276
18,1,9147,1,119.0,37,37,7,7,112.0,1,0,0,1,0,20,5,5,0,0.0,5,0,0,0.0,9.4,-0.8,-3.12,Dropout,0,0.0,0.0,0.0,10,0,0,2.4960000000000004
39,1,9670,1,120.0,38,37,7,7,140.0,0,0,1,1,0,24,6,15,4,10.5,6,16,4,12.5,15.5,2.8,-4.06,Dropout,0,0.6666666666666666,0.6666666666666666,2.0,12,8,0,-11.367999999999999
44,1,9003,1,150.0,38,38,9,8,150.0,1,0,1,1,0,20,6,8,5,12.857142857142858,6,11,6,12.3,16.2,0.3,-0.92,Graduate,1,0.8333333333333334,1.0,-0.5571428571428569,12,11,0,-0.276
1,3,9670,1,121.0,3,19,2,8,122.4,1,0,1,1,0,19,5,7,3,11.666666666666666,5,5,4,12.0,9.4,-0.8,-3.12,Enrolled,1,0.6,0.8,0.3333333333333339,10,7,0,2.4960000000000004
51,1,9119,1,140.0,1,19,4,4,150.0,0,0,1,1,0,23,5,7,2,13.0,5,11,1,10.0,8.9,1.4,3.51,Dropout,0,0.4,0.2,-3.0,10,3,0,4.914
17,2,9254,1,135.0,19,19,4,3,135.0,1,0,1,1,0,20,6,8,6,11.833333333333334,6,9,5,10.4,7.6,2.6,0.32,Enrolled,1,1.0,0.8333333333333334,-1.4333333333333336,12,11,0,0.8320000000000001
43,4,8014,0,116.0,34,34,0,0,116.2,0,0,1,1,0,21,11,11,11,12.454545454545457,11,17,8,12.75,9.4,-0.8,-3.12,Graduate,1,1.0,0.7272727272727273,0.2954545454545432,22,19,0,2.4960000000000004
17,2,9119,1,120.0,10,12,9,9,120.4,1,0,1,1,0,20,5,6,3,11.0,5,6,0,0.0,10.8,1.4,1.74,Dropout,0,0.6,0.0,-11.0,10,3,0,2.436
17,5,9119,1,126.0,37,38,4,4,122.9,1,0,1,1,0,21,5,10,4,13.2,5,7,4,14.25,7.6,2.6,0.32,Enrolled,1,0.8,0.8,1.0500000000000007,10,8,0,0.8320000000000001
1,1,9773,1,170.0,1,19,9,7,155.0,0,0,1,1,1,18,6,6,6,15.5,6,6,6,14.166666666666666,11.1,0.6,2.02,Graduate,1,1.0,1.0,-1.333333333333334,12,12,0,1.212
